,NiMH,LMO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
1990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0016907978712109447,1.0867522891038834e-11,0.9982274751714152,1.3910055645185452e-09,8.172555550073961e-05,1.1563246742330786e-26,6.161570964217143e-72,5.358060120763075e-73
1992,0.002406101180005152,4.398414399943761e-11,0.9974563354154198,4.30256748570781e-09,0.00013755905802342408,3.16192190450395e-25,5.436375864643433e-68,5.412545614774752e-69
1993,0.003356683697535962,1.6469544015296285e-10,0.9964184216318104,1.2497317203080195e-08,0.00022488200864100052,7.195576963029389e-24,2.8983629334330857e-64,3.2791694408481593e-65
1994,0.004595399775700523,5.729579576143308e-10,0.995046946664995,3.4203734399964935e-08,0.00035761878261199575,1.3765971399109304e-22,9.600821229855685e-61,1.225637335833483e-61
1995,0.00617965505173896,1.8592939110607813e-09,0.9932662553209489,8.848865013974272e-08,0.0005539992793680251,2.235165905028525e-21,2.0285596887594222e-57,2.9025378177075114e-58
1996,0.008169892201590716,5.649164805021026e-09,0.9909927333154382,2.1705300886145414e-07,0.0008371517807974362,3.1079520498117555e-20,2.802620656025538e-54,4.466279851249547e-55
1997,0.010627617317011066,1.612732933694109e-08,0.988136338710823,5.062175155685589e-07,0.0012355216273210075,3.7323196338989214e-19,2.5918434443064542e-51,4.572871785910568e-52
1998,0.013613021500171183,4.340341553474822e-08,0.9846027846163466,1.1255309261638905e-06,0.0017830249491403503,3.902049652183496e-18,1.6403000577512288e-48,3.186053134387595e-49
1999,0.017182292968008984,1.1046525829640546e-07,0.9802963526104035,2.3917406985340496e-06,0.0025188522156305514,3.578402222515664e-17,7.253936520302065e-46,1.5429059201755058e-46
2000,0.02138475432304558,2.6665305542815084e-07,0.9751232560879117,4.8689034434251275e-06,0.0034868540325435388,2.899053944891137e-16,2.286232317220455e-43,5.298302595060185e-44
2001,0.02625999331300085,6.121986180396572e-07,0.9689954064767707,9.516427664442417e-06,0.004734471583943733,2.08886081201409e-15,5.231750978889069e-41,1.3147705967952802e-41
2002,0.031835178388294846,1.340298704327544e-06,0.9618343708194317,1.7895909118981228e-05,0.006311214584436766,1.347106698931608e-14,8.846863549029642e-39,2.4000979597961743e-39
2003,0.03812275775511572,2.805115823057545e-06,0.9535752566054203,3.244385375441465e-05,0.008266736669808226,7.822317815656345e-14,1.1239850451704819e-36,3.277895743421421e-37
2004,0.0451187285678687,5.625476860314851e-06,0.9441702296645424,5.681023742697947e-05,0.010648606052890272,4.113106662085771e-13,1.0898755548711394e-34,3.4030378690680917e-35
