t,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
2010,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2011,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2012,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2013,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2014,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2015,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2016,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2017,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
2018,57954,45273,57954,57954,57954,57954,57954,57954,57954,57954,38556,38556,57954,57954,57954,57954,57954,85588,57954,61111,59242,57954,57954,57954,59242,57954
