t,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
2010,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2011,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2012,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2013,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2014,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2015,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2016,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2017,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
2018,51605,40313,51605,51605,51605,51605,51605,51605,51605,51605,34332,34332,51605,51605,51605,51605,51605,76212,51605,54417,52752,51605,51605,51605,52752,51605
