t,Small,Medium,Large,Very Large
2018,0.207,0.159,0.144,0.132
2017,0.207,0.159,0.144,0.132
2016,0.207,0.159,0.144,0.132
2015,0.207,0.159,0.144,0.132
2014,0.207,0.159,0.144,0.132
2013,0.207,0.159,0.144,0.132
2012,0.207,0.159,0.144,0.132
2011,0.207,0.159,0.144,0.132
2010,0.207,0.159,0.144,0.132
2009,0.207,0.159,0.144,0.132
2008,0.207,0.159,0.144,0.132
2007,0.207,0.159,0.144,0.132
2006,0.207,0.159,0.144,0.132
2005,0.207,0.159,0.144,0.132
