t,Small,Medium,Large,Very Large
2018,375,8215,53051,147805
2017,374,8212,53100,145851
2016,373,8175,53228,144916
2015,374,8170,53285,143482
2014,374,8167,53399,142568
2013,375,8118,53364,140816
2012,374,8196,53324,139949
2011,378,8265,53111,138851
2010,380,8170,52947,137797
2009,379,8077,52912,137611
2008,379,8104,53097,138184
2007,378,8095,53052,137751
2006,378,8078,52920,137670
2005,373,7985,53057,138632
