t,Small,Medium,Large,Very Large
2018,27000,27000,92709,115209
2017,27000,27000,92709,115209
2016,27000,27000,92709,115209
2015,27000,27000,92709,115209
2014,27000,27000,92709,115209
2013,27000,27000,92709,115209
2012,27000,27000,92709,115209
2011,27000,27000,92709,115209
2010,27000,27000,92709,115209
2009,27000,27000,92709,115209
2008,27000,27000,92709,115209
2007,27000,27000,92709,115209
2006,27000,27000,92709,115209
2005,27000,27000,92709,115209
